langcode,lab
ab,SARS-CoV-2
az,COVID-19
az,Koronavirus
az,Koronavirus xəstəliyi 2019
az,SARS-CoV-2
az,Yeni koronavirus (2019-nCoV)
ba,SARS-CoV-2
be,COVID-19
be,SARS-CoV-2
be,каранавірусная хвароба
bg,2019-nCoV
bg,COVID-19
bg,COVID19
bg,SARS-CoV-2
bg,Severe acute respiratory syndrome coronavirus 2
bg,Коронавирус болест 2019
bg,ТОРС коронавирус 2
bg,Тежък остър респираторен синдром коронавирус 2
bg,коронавирус
bs,2019 nCoV
bs,2019-nCoV
bs,2019-nCoV
bs,COVID-19
bs,KOVID-19
bs,Kineski koronavirus
bs,Koronavirus
bs,Nova koronovirusna upala pluća
bs,Novo koronavirus
bs,SARS-CoV-2
bs,Wuhanska upala pluća
bs,Wuhanski koronavirus
bs,akutna respiratorna bolest 2019-nCoV
ca,2019-nCoV
ca,2019-nCoV
ca,COVID-19
ca,Coronavirus
ca,Covid-19
ca,Nou coronavirus (2019-nCoV)
ca,SARS-CoV-2
ca,coronavirus de síndrome respiratòria aguda greu 2
ca,malaltia per coronavirus de 2019
ca,malaltia respiratòria aguda del 2019-nCoV
ca,malaltia respiratòria aguda per 2019-nCoV
cs,2019-nCoV
cs,Koronavirus
cs,SARS-CoV-2
cs,covid-19
cs,koronavirus 2019-nCoV
cs,wuchanský koronavirus
cv,COVID-19 коронавирусла инфекци
cv,SARS-CoV-2
cv,Коронавирус
cy,COVID-19
cy,Coronafirws (grwp o firysau)
cy,SARS-CoV-2
da,2019-nCoV
da,2019-nCoV ARD
da,2019-nCoV acute respiratory disease
da,2019-novel-coronavirus
da,COVID-19
da,Coronavirus
da,NCP
da,SARS-CoV-2
da,Severe acute respiratory syndrome coronavirus 2
da,Wuhan-coronavirus
da,coronavirus disease 2019
da,novel coronavirus pneumonia
de,2019-nCoV
de,COVID-19
de,CoV
de,Corona
de,Coronavirus
de,Coronavirus disease 2019
de,Coronavirus-Krankheit 2019
de,Covid-19
de,SARS-CoV-2
de,Severe acute respiratory syndrome coronavirus 2
de,Wuhan coronavirus
de,neuartiger Coronavirus
de,neuartiges Coronavirus
el,2019-nCoV
el,2019-nCoV
el,COVID-19
el,SARS-CoV-2
el,Ασθένεια κοροναϊού 2019
el,Κινεζικός κοροναϊός
el,Κορονοϊός
el,κοροναϊός
el,κοροναϊός του Γουχάν
el,κοροναϊός του Ουχάν
el,κορονοϊός
el,κορωνοϊός
el,πνευμονία της αγοράς θαλασσινών του Ουχάν
en,2019 NCP
en,2019 nCoV
en,2019 novel coronavirus pneumonia
en,2019 novel coronavirus respiratory syndrome
en,2019-nCoV
en,2019-nCoV acute respiratory disease
en,2019nCoV
en,Acute respiratory syndrome coronavirus 2
en,CD-19
en,COVID
en,COVID 19
en,COVID-19
en,COVID-19 virus
en,COVID-2019
en,COVID19
en,Chinese coronavirus
en,CoV
en,Corona
en,Corona virus
en,Coronavirus
en,Coronavirus SARS-COV2
en,Coronavirus disease 2019
en,Covid-19
en,NCP
en,Novel coronavirus (2019-nCoV)
en,SARS-CoV-2
en,SARS-CoV-2 infection
en,SARS-CoV-2 virus
en,SARS-CoV2
en,Severe acute respiratory syndrome coronavirus 2
en,Severe acute respiratory syndrome-related coronavirus 2
en,WuRS
en,Wuhan coronavirus
en,Wuhan pneumonia
en,Wuhan respiratory syndrome
en,Wuhan seafood market pneumonia virus
en,Wuhan virus
en,coronavirus
en,coronavirus disease 2019
en,nCOVD 19
en,nCOVD-19
en,nCOVD19
en,nCoV-2019
en,nCoV2019
en,novel coronavirus
en,seafood market pneumonia
en,severe acute respiratory syndrome coronavirus clade 2
en,severe acute respiratory syndrome type 2
es,2019-nCoV
es,2019-nCoV
es,COVID-19
es,Coronavirus
es,SARS-CoV-2
es,enfermedad del coronavirus
es,enfermedad por coronavirus
es,enfermedad por coronavirus de 2019
es,neumonia por coronavirus
es,neumonía por coronavirus
es,neumonía por coronavirus de 2019
et,COVID-19
et,SARS-CoV-2
et,koroonaviirused
et,pärgviirused
eu,2019-nCoV
eu,2019-nCoV
eu,COVID-19
eu,Koronabirus
eu,SARS-CoV-2
fi,2019-nCoV
fi,2019-nCoV
fi,COVID-19
fi,SARS-CoV-2
fi,koronavirukset
fr,2019-nCoV
fr,COVID-19
fr,COVID19
fr,CoV
fr,Covid
fr,Covid-19
fr,NCoV-2019
fr,SARS-CoV-2
fr,SRAS-CoV-2
fr,coronavirus
fr,coronavirus de Wuhan
fr,maladie à coronavirus 2019
fr,pneumonie de Wuhan
fy,COVID-19
fy,SARS-CoV-2
ga,2019-nCoV
ga,Coróinvíreas
ga,Covid-19
ga,SARS-CoV-2
gl,COVID-19
gl,SARS-CoV-2
gl,enfermidade do coronavirus 2019
hr,COVID-19
hr,Koronavirus
hr,SARS-CoV-2
hu,2019-nCoV
hu,COVID
hu,Covid19
hu,Koronavírus
hu,SARS-CoV-2
hy,2019-nCoV
hy,SARS-CoV-2
hy,Կորոնավիրուսային վարակ COVID-19
is,COVID-19
is,Kórónaveira
is,SARS-CoV-2
it,2019-nCoV
it,2019-nCoV
it,COVID-19
it,COVID19
it,Coronavirus
it,Coronavirus 2019-nCoV
it,Covid
it,SARS-CoV-2
it,Wuhan coronavirus
it,malattia respiratoria acuta da SARS-CoV-2
it,nuovo Coronavirus
it,polmonite di Wuhan
ka,2019-nCoV
ka,COVID-2019
ka,კორონავირუსი SARS-CoV-2
kk,COVID-19
kk,COVID-19 коронавирус инфекциясы
kk,COVID-19 коронавирустық инфекция
kk,Жаңа коронавирус (2019-nCoV)
kk,Коронавирустар
kk,коронавирус
la,2019-nCoV
la,Coronaviri morbus
la,Coronavirus
la,SARS-CoV-2
lb,2019-nCoV
lb,COVID-19
lb,NCoV-2019
lb,SARS-CoV-2
lt,COVID-19
lt,Koronavirusai
lt,SARS-CoV-2
lv,2019-nCoV
lv,2019. gada Jaunais koronavīruss
lv,COVID-19
lv,Koronavīrusi
lv,SARS-CoV-2 vīruss
lv,Uhaņas koronavīruss
mk,COVID-19
mk,SARS-CoV-2
mk,Коронавирус
nb,2019-nCoV
nb,NCoV-2019
nb,Novel coronavirus
nb,SARS-CoV-2
nb,covid-19
nb,koronavirus
nl,2019 nCoV
nl,2019-nCoV
nl,2019-nCoV
nl,2019nCoV
nl,COVID-19
nl,COVID-19-virus
nl,Chinees coronavirus
nl,Coronavirussen
nl,SARS-CoV-2
nl,Wuhan-virus
nl,Wuhanvirus
nl,corona
nl,coronabesmetting
nl,coronainfectie
nl,coronavirus
nl,coronavirusbesmetting
nl,nieuw coronavirus
nn,2019-nCoV
nn,Wuhan-virus
nn,covid-19
nn,covid-19-sjukdom
nn,covid-19-virus
nn,koronavirus
nn,nCoV-2019
nn,sars-CoV-2
oc,Coronavirus
oc,Malautiá pel coronavirus 2019
oc,SARS-CoV-2
pl,2019-nCoV
pl,COVID-19
pl,SARS-CoV-2
pl,koronawirusy
pt,2019-nCoV
pt,2019-nCoV
pt,COVID-19
pt,Coronavírus
pt,Doença respiratória aguda por novo coronavírus COVID-19
pt,SARS-CoV-2
pt,coronavírus 2 da síndrome respiratória aguda grave
pt,coronavírus da síndrome respiratória aguda grave 2
pt,coronavírus da síndrome respiratória aguda grave 2 (SARS-CoV-2)
ro,2019-nCoV
ro,2019-nCoV
ro,COVID-19
ro,Coronavirus
ro,Coronavirus 2019-nCoV
ro,Coronavirusul sindromului respirator acut sever 2
ro,SARS-CoV-2
ru,2019-nCoV
ru,COVID-19
ru,NCoV-2019
ru,SARS-CoV-2
ru,Коронавирусы
ru,ковид
ru,ковид
ru,коронавирусная инфекция 2019-nCoV
ru,коронавирусная инфекция COVID-19
ru,коронавирусное заболевание (2019)
ru,уханьский коронавирус
sk,COVID-19
sk,SARS-CoV-2
sl,2019-nCoV
sl,2019-nCoV
sl,COVID-19
sl,Koronavirus
sl,SARS-CoV-2
sl,koronavirusna bolezen 2019
sq,Koronavirusi
sq,Sindromi i rëndë akut i frymëmarrjes koronavirus 2
sq,Sëmundja koronavirus 2019
sr,COVID-19
sr,SARS-CoV-2
sr,Вируси корона
sv,2019-nCoV
sv,2019-nCoV
sv,COVID-19
sv,SARS-CoV-2
sv,Wuhan coronavirus
sv,coronavirus
tr,2019 yeni koronavirüsü
tr,2019-nCoV
tr,COVID-19
tr,COVID19
tr,CoV
tr,Covid-19
tr,Koronavirüs
tr,Koronavirüs hastalığı 2019
tr,SARS-CoV-2
tr,Vuhan koronavirüsü
tr,Vuhan zatürresi
tr,Wuhan virüsü
tr,Yeni koronavirüs
tr,Şiddetli akut solunum yolu sendromu koronavirüsü 2
tt,COVID-19
tt,SARS-CoV-2
uk,COVID-19
uk,COVID-2019
uk,Covid-19
uk,SARS-CoV-2
uk,КОВІД-19
uk,гостра респіраторна хвороба, яку спричинює коронавірус 2019-nCoV
uk,гостра респіраторна хвороба, яку спричинює коронавірус SARS-CoV-2
uk,ковід-19
uk,коронавірус
uk,коронавірус Уханя
uk,коронавіруси
uk,коронавірусна хвороба 2019
uk,коронавірусне захворювання 2019
yi,קאָראָנאַװירוס
yi,קאוויד-19
yi,קאראנאווירוס
