domain,cc2
100komma7.lu,LU
1tv.am,AM
1tv.com.ua,UA
andorradifusio.ad,AD
ard.de,DE
armradio.am,AM
avro.nl,NL
bbc.co.uk,GB
bbc.com,GB
bbcfrance.fr,GB
bbcstudioworks.com,GB
bbcworldwide.com,GB
bhrt.ba,BA
bnn.nl,NL
bnnvara.nl,NL
bnr.bg,BG
bnt.bg,BG
boeddhistischeomroep.nl,NL
brf.be,BE
cadenaser.com,ES
ceskatelevize.cz,CZ
cfi.fr,FR
cope.es,ES
ctk.cz,CZ
cybc.com.cy,CY
dr.dk,DK
dw.com,DE
dwnewsvdyyiamwnp.onion,DE
eitb.eus,ES
eo.nl,NL
err.ee,EE
ert.gr,GR
europe1.fr,FR
fipradio.fr,FR
fondationfrancetelevisions.fr,FR
france.tv,FR
francebleu.fr,FR
franceculture.fr,FR
franceinter.fr,FR
francemusique.fr,FR
francetvinfo.fr,FR
gpb.ge,GE
hr.de,DE
hrt.hr,HR
humanistischeomroep.nl,NL
ikonrtv.nl,NL
itv.az,AZ
joodseomroep.nl,NL
katholieknederland.nl,NL
kaztrk.kz,KZ
kro.nl,NL
kunskapskanalen.se,SE
kvf.fo,FO
lemouv.fr,FR
lrt.lt,LT
lsm.lv,LV
ltv.lt,LV
maisondelaradio.fr,FR
mc-doualiya.com,FR
mdr.de,DE
mediaklikk.hu,HU
mfptv.fr,FR
mouv.fr,FR
mrt.com.mk,MK
mtv.hu,HU
mtv3.fi,FI
ncrv.nl,NL
ndr.de,DE
npo.nl,NL
nrcu.gov.ua,UA
nrk.no,NO
ohmnet.nl,NL
oireachtas.ie,IE
orf.at,AT
polskieradio.pl,PL
radio.li,LI
radiobarcelona.cat,ES
radiobremen.de,DE
radiofrance.fr,FR
rai.it,IT
raiplay.it,IT
raipubblicita.it,IT
rbb-online.de,DE
redbeemedia.com,GB
rfi.fr,FR
rmb.be,BE
rozhlas.cz,CZ
rozhlas.sk,SK
rsi.ch,CH
rtbf.be,BE
rtcg.me,ME
rte.ie,IE
rtp.pt,PT
rts.rs,RS
rtsh.al,AL
rtvc.es,ES
rtve.es,ES
rtvs.sk,SK
rtvslo.si,SI
ruv.is,IS
sanmarinortv.sm,SM
sr.de,DE
srgssr.ch,CH
srr.ro,RO
stv.sk,SK
sverigesradio.se,SE
svt.se,SE
swr.de,DE
tf1.fr,FR
tg4.ie,IE
trm.md,MD
trt.net.tr,TR
trt1.com.tr,TR
tv4.se,SE
tveinternacional.es,ES
tvm.com.mt,MT
tvp.pl,PL
tvr.by,BY
tvr.ro,RO
uktv.co.uk,GB
ur.se,SE
vara.nl,NL
vaticannews.va,VA
vgtrk.com,RU
vpro.nl,NL
vrt.be,BE
wdr.de,DE
yle.fi,FI
zdf.de,DE
zvk.nl,NL
