tld,cc2
.ad,AD
.ae,AE
.af,AF
.ag,AG
.al,AL
.am,AM
.ao,AO
.ar,AR
.as,AS
.at,AT
.au,AU
.aw,AW
.az,AZ
.ba,BA
.bb,BB
.bd,BD
.be,BE
.bf,BF
.bg,BG
.bh,BH
.bi,BI
.bj,BJ
.bn,BN
.bo,BO
.br,BR
.bs,BS
.bt,BT
.bw,BW
.by,BY
.bz,BZ
.bzh,FR
.ca,CA
.cd,CD
.cf,CF
.cg,CG
.ch,CH
.ci,CI
.ck,CK
.cl,CL
.cm,CM
.cn,CN
.co,CO
.cr,CR
.cu,CU
.cv,CV
.cy,CY
.cz,CZ
.de,DE
.dj,DJ
.dk,DK
.dm,DM
.do,DO
.dz,DZ
.ec,EC
.ee,EE
.eg,EG
.er,ER
.es,ES
.et,ET
.eu,LT
.fi,FI
.fj,FJ
.fm,FM
.fo,FO
.fr,FR
.ga,GA
.gb,GB
.gd,GD
.ge,GE
.gh,GH
.gl,GL
.gm,GM
.gn,GN
.gq,GQ
.gr,GR
.gt,GT
.gw,GW
.gy,GY
.hn,HN
.hr,HR
.ht,HT
.hu,HU
.id,ID
.ie,IE
.il,IL
.in,IN
.iq,IQ
.ir,IR
.is,IS
.it,IT
.jm,JM
.jo,JO
.jp,JP
.ke,KE
.kg,KG
.kh,KH
.ki,KI
.km,KM
.kn,KN
.kp,KP
.kr,KR
.kw,KW
.kz,KZ
.la,LA
.lb,LB
.lc,LC
.li,LI
.lk,LK
.lr,LR
.ls,LS
.lt,LT
.lu,LU
.lv,LV
.ly,LY
.ma,MA
.mc,MC
.md,MD
.me,ME
.mg,MG
.mh,MH
.mk,MK
.ml,ML
.mm,MM
.mn,MN
.mp,MP
.mr,MR
.mt,MT
.mu,MU
.mv,MV
.mw,MW
.mx,MX
.my,MY
.mz,MZ
.na,NA
.ne,NE
.ng,NG
.ni,NI
.nl,NL
.no,NO
.np,NP
.nr,NR
.nu,NU
.nz,NZ
.om,OM
.pa,PA
.paris,FR
.pe,PE
.pg,PG
.ph,PH
.pk,PK
.pl,PL
.pm,FR
.pt,PT
.pw,PW
.py,PY
.qa,QA
.re,FR
.ro,RO
.rs,RS
.ru,RU
.rw,RW
.sa,SA
.sb,SB
.sc,SC
.sd,SD
.se,SE
.sg,SG
.si,SI
.sk,SK
.sl,SL
.sm,SM
.sn,SN
.so,SO
.sr,SR
.ss,SS
.st,ST
.su,RU
.sv,SV
.swiss,CH
.sx,SX
.sy,SY
.sz,SZ
.td,TD
.tf,FR
.tg,TG
.th,TH
.tj,TJ
.tl,TL
.tm,TM
.tn,TN
.to,TO
.tr,TR
.tt,TT
.tv,TV
.tw,TW
.tz,TZ
.ua,UA
.ug,UG
.uk,GB
.uy,UY
.uz,UZ
.va,VA
.vc,VC
.ve,VE
.vn,VN
.vu,VU
.wf,FR
.ws,WS
.ye,YE
.yt,FR
.za,ZA
.zm,ZM
.zw,ZW
.бг,BG
.бел,BY
.рус,RU
.рф,RU
.срб,RS
.укр,UA
.қаз,KZ
.հայ,AM
.امارات,AE
.مصر,EG
.भारत,IN
.ভারত,IN
.ভাৰত,IN
.ਭਾਰਤ,IN
.ભારત,IN
.ଭାରତ,IN
.இந்தியா,IN
.இலங்கை,LK
.భారత్,IN
.ಭಾರತ,IN
.ഭാരതം,IN
.გე,GE
.中国,CN
.中國,CN
ایران.,IR
